scientificName,updated_syn
vulpia octoflora,festuca octoflora
vulpia octoflora var. hirtella,festuca octoflora
vulpia octoflora var. hirtella,festuca octoflora
vulpia octoflora var. hirtella,festuca octoflora
vulpia octoflora var. octoflora,festuca octoflora
vulpia octoflora var. octoflora,festuca octoflora
vulpia octoflora var. octoflora,festuca octoflora
lolium multiflorum,festuca perennis
lolium perenne,festuca perennis
lolium perenne subsp. multiflorum,festuca perennis
lolium perenne subsp. perenne,festuca perennis
lolium rigidum,festuca rigida
lolium temulentum,festuca temulenta
ficus carica,ficus carica
ficus macrophylla,ficus macrophylla
foeniculum vulgare,foeniculum vulgare
foeniculum vulgare,foeniculum vulgare
frangula californica subsp. californica,frangula californica subsp. californica
rhamnus californica subsp. californica,frangula californica subsp. californica
frangula californica subsp. tomentella,frangula californica subsp. tomentella
frangula californica subsp. tomentella,frangula californica subsp. tomentella
frangula californica subsp. tomentella,frangula californica subsp. tomentella
frangula californica subsp. tomentella,frangula californica subsp. tomentella
rhamnus tomentella subsp. tomentella,frangula californica subsp. tomentella
rhamnus tomentella subsp. tomentella,frangula californica subsp. tomentella
frankenia grandifolia,frankenia salina
frankenia salina,frankenia salina
fraxinus dipetala,fraxinus dipetala
fraxinus uhdei,fraxinus uhdei
frullania catalinae,frullania catalinae
funastrum hartwegii,funastrum hartwegii
gaillardia pulchella,gaillardia pulchella
galium angustifolium,galium angustifolium
galium angustifolium subsp. angustifolium,galium angustifolium subsp. angustifolium
galium angustifolium subsp. foliosum,galium angustifolium subsp. foliosum
galium angustifolium var. foliosum,galium angustifolium subsp. foliosum
galium angustifolium subsp. onycense,galium angustifolium subsp. onycense
galium aparine,galium aparine
galium aparine var. echinospermum,galium aparine
galium aparine var. vaillantii,galium aparine
galium buxifolium,galium buxifolium
galium californicum,galium californicum
galium californicum subsp. flaccidum,galium californicum subsp. flaccidum
galium californicum subsp. miguelense,galium californicum subsp. miguelense
galium catalinense,galium catalinense
galium catalinense subsp. acrispum,galium catalinense subsp. acrispum
galium catalinense subsp. catalinense,galium catalinense subsp. catalinense
galium murale,galium murale
galium nuttallii,galium nuttallii subsp. insulare
galium nuttallii subsp. insulare,galium nuttallii subsp. insulare
galium parisiense,galium parisiense
galium porrigens,galium porrigens var. porrigens
galium porrigens var. porrigens,galium porrigens var. porrigens
galium porrigens var. porrigens,galium porrigens var. porrigens
galvezia speciosa,gambelia speciosa
gambelia speciosa,gambelia speciosa
gamochaeta coarctata,gamochaeta coarctata
gamochaeta pensylvanica,gamochaeta pensylvanica
gamochaeta purpurea,gamochaeta purpurea
gnaphalium purpureum,gamochaeta purpurea
gamochaeta ustulata,gamochaeta ustulata
garrya elliptica,garrya elliptica
garrya veatchii,garrya veatchii
gastridium phleoides,gastridium phleoides
gastridium ventricosum,gastridium phleoides
gastroclonium compressum,gastroclonium compressum
gastroclonium coulteri,gastroclonium coulteri
gayophytum diffusum subsp. parviflorum,gayophytum diffusum subsp. parviflorum
gazania linearis,gazania linearis
gazania rigens,gazania rigens
gelidium coulteri,gelidium coulteri
gelidium nudifrons,gelidium nudifrons
gelidium purpurascens,gelidium purpurascens
gelidium pusillum,gelidium pusillum
gelidium robustum,gelidium robustum
genista canariensis,genista canariensis
cytisus linifolius,genista linifolia
genista linifolia,genista linifolia
genista maderensis,genista maderensis
cytisus monspessulanus,genista monspessulana
genista monspessulana,genista monspessulana
geranium californicum,geranium californicum
geranium carolinianum,geranium carolinianum
geranium dissectum,geranium dissectum
geranium molle,geranium molle
geranium pusillum,geranium pusillum
gigartina agardhii,gigartina agardhii
gigartina canaliculata,gigartina canaliculata
gigartina corymbifera,gigartina corymbifera
gigartina exasperata,gigartina exasperata
gigartina harveyana,gigartina harveyana
gigartina leptorhynchos,gigartina leptorhynchos
gigartina papillata,gigartina papillata
gigartina spinosa,gigartina spinosa
gigartina volans,gigartina volans
saltugilia australis,gilia australis
githopsis diffusa subsp. diffusa,githopsis diffusa subsp. diffusa
glandularia aristigera,glandularia aristigera
chrysanthemum coronarium,glebionis coronaria
glebionis coronarium,glebionis coronarium
gloiopeltis furcata,gloiopeltis furcata
gnaphalium palustre,gnaphalium palustre
grateloupia doryphora,grateloupia doryphora
grateloupia filicina,grateloupia filicina
grateloupia prolongata,grateloupia prolongata
grateloupia setchellii,grateloupia setchellii
grimmia laevigata,grimmia laevigata
grindelia camporum,grindelia hirsutula
grindelia camporum var. bracteosa,grindelia hirsutula
grindelia hirsutula,grindelia hirsutula
grindelia latifolia,grindelia hirsutula
grindelia latifolia subsp. platyphylla,grindelia hirsutula
grindelia robusta,grindelia hirsutula
grindelia stricta var. platyphylla,grindelia hirsutula
gymnogongrus leptophyllus,gymnogongrus leptophyllus
gymnogongrus platyphyllus,gymnogongrus platyphyllus
hainardia cylindrica,hainardia cylindrica
monerma cylindrica,hainardia cylindrica
haliptylon gracile,haliptylon gracile
harpagonella palmeri,harpagonella palmeri
haplopappus canus,hazardia cana
hazardia cana,hazardia cana
haplopappus detonsus,hazardia detonsa
hazardia detonsa,hazardia detonsa
hazardia squarrosa,hazardia squarrosa var. grindelioides
haplopappus squarrosus subsp. grindelioides,hazardia squarrosa var. grindelioides
haplopappus squarrosus subsp. grindelioides,hazardia squarrosa var. grindelioides
hazardia squarrosa var. grindelioides,hazardia squarrosa var. grindelioides
hazardia squarrosa var. grindelioides,hazardia squarrosa var. grindelioides
haplopappus squarrosus,hazardia squarrosa var. squarrosa
hazardia squarrosa var. squarrosa,hazardia squarrosa var. squarrosa
hedera canariensis,hedera canariensis
hedera helix,hedera helix
hedypnois cretica,hedypnois rhagadioloides
hedypnois cretica,hedypnois rhagadioloides
helenium puberulum,helenium puberulum
helianthemum greenei,crocanthemum greenei
helianthemum scoparium,crocanthemum scoparium
helianthemum scoparium var. vulgare,crocanthemum scoparium
helianthus annuus,helianthus annuus
helianthus annuus subsp. lenticularis,helianthus annuus
heliotropium curassavicum,heliotropium curassavicum var. oculatum
heliotropium curassavicum var. oculatum,heliotropium curassavicum var. oculatum
heliotropium curassavicum var. oculatum,heliotropium curassavicum var. oculatum
helminthotheca echioides,helminthotheca echioides
picris echioides,helminthotheca echioides
hemizonia clevelandii,hemizonia congesta subsp. clevelandii
herniaria hirsuta,herniaria hirsuta var. cinerea
herniaria cinerea,herniaria hirsuta var. cinerea
herniaria hirsuta subsp. cinerea,herniaria hirsuta var. cinerea
herniaria hirsuta var. cinerea,herniaria hirsuta var. cinerea
herniaria hirsuta var. hirsuta,herniaria hirsuta var. hirsuta
herposiphonia plumula,herposiphonia plumula
herposiphonia rigida,herposiphonia rigida
herposiphonia verticillata,herposiphonia verticillata
hesperaloe parviflora,hesperaloe parviflora
hesperevax sparsiflora,hesperevax sparsiflora
hesperevax sparsiflora var. sparsiflora,hesperevax sparsiflora var. sparsiflora
hesperocnide tenella,hesperocnide tenella
cupressus macrocarpa,hesperocyparis macrocarpa
hesperolinon micranthum,hesperolinon micranthum
heteromeles arbutifolia,heteromeles arbutifolia
heteromeles arbutifolia var. arbutifolia,heteromeles arbutifolia
heteromeles arbutifolia var. macrocarpa,heteromeles arbutifolia
photinia arbutifolia,heteromeles arbutifolia
heterosiphonia erecta,heterosiphonia erecta
heterotheca grandiflora,heterotheca grandiflora
heuchera abramsii,heuchera abramsii
heuchera maxima,heuchera maxima
heuchera pilosissima,heuchera pilosissima
hibiscus rosa-sinensis,hibiscus rosa-sinensis
hieracium argutum,hieracium argutum
hieracium argutum var. argutum,hieracium argutum
brassica geniculata,hirschfeldia incana
hirschfeldia incana,hirschfeldia incana
sinapis incana,hirschfeldia incana
holmesia californica,holmesia californica
camissonia andina,holmgrenia andina
holodiscus discolor,holodiscus discolor var. discolor
holodiscus discolor var. discolor,holodiscus discolor var. discolor
holodiscus discolor var. discolor,holodiscus discolor var. discolor
hordeum brachyantherum,hordeum brachyantherum subsp. californicum
hordeum brachyantherum subsp. brachyantherum,hordeum brachyantherum subsp. brachyantherum
hordeum brachyantherum subsp. californicum,hordeum brachyantherum subsp. californicum
hordeum californicum,hordeum brachyantherum subsp. californicum
hordeum depressum,hordeum depressum
hordeum intercedens,hordeum intercedens
hordeum intercedens,hordeum intercedens
hordeum marinum,hordeum marinum subsp. gussoneanum
hordeum geniculatum,hordeum marinum subsp. gussoneanum
hordeum marinum subsp. gussoneanum,hordeum marinum subsp. gussoneanum
hordeum marinum subsp. gussonianum,hordeum marinum subsp. gussoneanum
hordeum maritimum subsp. gussoneanum,hordeum marinum subsp. gussoneanum
hordeum murinum,hordeum murinum
hordeum glaucum,hordeum murinum subsp. glaucum
hordeum murinum subsp. glaucum,hordeum murinum subsp. glaucum
hordeum leporinum,hordeum murinum subsp. leporinum
hordeum murinum subsp. leporinum,hordeum murinum subsp. leporinum
hordeum murinum subsp. murinum,hordeum murinum subsp. murinum
hordeum pusillum,hordeum intercedens
hordeum vulgare,hordeum vulgare
horkelia rydbergii,horkelia rydbergii
hornungia procumbens,hornungia procumbens
hutchinsia procumbens,hornungia procumbens
hymenolobus procumbens,hornungia procumbens
hymenena flabelligera,hymenena flabelligera
hymenena multiloba,hymenena multiloba
hypericum androsaemum,hypericum androsaemum
hypnea musciformis,hypnea musciformis
hypnea valentiae,hypnea valentiae
hypochaeris glabra,hypochaeris glabra
hypochaeris radicata,hypochaeris radicata
imperata brevifolia,imperata brevifolia
ipheion uniflorum,ipheion uniflorum
ipomoea cairica,ipomoea cairica
iridaea cordata,iridaea cordata
iridaea flaccida,iridaea flaccida
iridaea heterocarpa,iridaea heterocarpa
isocoma menziesii,isocoma menziesii
isocoma menziesii var. decumbens,isocoma menziesii
haplopappus venetus subsp. oxyphyllus,isocoma menziesii
isocoma menziesii var. menziesii,isocoma menziesii
haplopappus venetus var. sedoides,isocoma menziesii
isocoma menziesii var. sedoides,isocoma menziesii
isocoma veneta var. sedoides,isocoma menziesii
haplopappus venetus subsp. vernonioides,isocoma menziesii
isocoma menziesii var. vernonioides,isocoma menziesii
haplopappus venetus,isocoma veneta
isocoma veneta,isocoma veneta
isoetes orcuttii,isoetes orcuttii
isolepis cernua,isolepis cernua
jacaranda mimosifolia,jacaranda mimosifolia
jania crassa,jania crassa
jania tenella,jania tenella
jaumea carnosa,jaumea carnosa
jepsonia malvifolia,jepsonia malvifolia
jepsonia parryi,jepsonia parryi
juglans californica,juglans californica
juglans californica var. californica,juglans californica
juglans regia,juglans regia
juncus acutus,juncus acutus subsp. leopoldii
juncus acutus subsp. leopoldii,juncus acutus subsp. leopoldii
juncus acutus subsp. leopoldii,juncus acutus subsp. leopoldii
juncus arcticus,juncus arcticus
juncus balticus,juncus balticus subsp. ater
juncus balticus subsp. ater,juncus balticus subsp. ater
juncus balticus subsp. ater,juncus balticus subsp. ater
juncus arcticus subsp. littoralis,juncus balticus subsp. ater
juncus arcticus subsp. littoralis,juncus balticus subsp. littoralis
juncus bufonius,juncus bufonius var. bufonius
juncus bufonius var. bufonius,juncus bufonius var. bufonius
juncus bufonius var. congestus,juncus bufonius var. congestus
juncus bufonius var. occidentalis,juncus bufonius var. occidentalis
juncus effusus,juncus effusus subsp. pacificus
juncus effusus subsp. austrocalifornicus,juncus effusus subsp. austrocalifornicus
juncus effusus subsp. pacificus,juncus effusus subsp. pacificus
juncus ambiguus,juncus hyridus
juncus lesueurii,juncus lesueurii
juncus balticus subsp. mexicanus,juncus mexicanus
juncus mexicanus,juncus mexicanus
juncus oxymeris,juncus oxymeris
juncus patens,juncus patens
juncus phaeocephalus,juncus phaeocephalus var. phaeocephalus
juncus phaeocephalus var. phaeocephalus,juncus phaeocephalus var. phaeocephalus
juncus ranarius,juncus ranarius
juncus textilis,juncus textilis
juncus xiphioides,juncus xiphioides
justicia californica,justicia californica
kalanchoe laciniata,kalanchoe laciniata
keckiella cordifolia,keckiella cordifolia
penstemon cordifolius,keckiella cordifolia
keckiella ternata subsp. septentrionalis,keckiella ternata subsp. septentrionalis
kickxia elatine,kickxia elatine
koeleria gerardii,koeleria gerardii
koeleria phleoides,koeleria gerardii
koeleria macrantha,koeleria macrantha
koeleria macrantha,koeleria macrantha
koeleria pyramidata,koeleria macrantha
kopsiopsis strobilacea,kopsiopsis strobilacea
lactuca saligna,lactuca saligna
lactuca serriola,lactuca serriola
conyza coulteri,laennecia coulteri
laennecia coulteri,laennecia coulteri
lagunaria patersonii,lagunaria patersonii
lamarckia aurea,lamarckia aurea
lamium amplexicaule,lamium amplexicaule
chorizanthe coriacea,lastarriaea coriacea
lastarriaea coriacea,lastarriaea coriacea
lasthenia californica,lasthenia glabrata subsp. coulteri
lasthenia chrysostoma,lasthenia glabrata subsp. coulteri
lasthenia californica subsp. californica,lasthenia glabrata subsp. coulteri
lasthenia californica subsp. californica,lasthenia glabrata subsp. coulteri
lasthenia californica subsp. macrantha,lasthenia californica subsp. macrantha
lasthenia glabrata,lasthenia glabrata subsp. coulteri
lasthenia glabrata subsp. coulteri,lasthenia glabrata subsp. coulteri
lasthenia glabrata subsp. glabrata,lasthenia glabrata subsp. glabrata
lasthenia gracilis,lasthenia gracilis
lathyrus latifolius,lathyrus latifolius
lathyrus odoratus,lathyrus odoratus
lathyrus palustris,lathyrus palustris
lathyrus tingitanus,lathyrus tingitanus
lathyrus vestitus,lathyrus vestitus
lathyrus laetiflorus subsp. alefeldii,lathyrus vestitus var. alefeldii
lathyrus vestitus subsp. alefeldii,lathyrus vestitus var. alefeldii
lathyrus vestitus var. alefeldii,lathyrus vestitus var. alefeldii
lathyrus laetiflorus,lathyrus vestitus var. vestitus
lathyrus laetiflorus subsp. barbarae,lathyrus vestitus var. vestitus
lathyrus vestitus subsp. laetiflorus,lathyrus vestitus var. vestitus
lathyrus vestitus subsp. puberulus,lathyrus vestitus var. vestitus
lathyrus vestitus subsp. vestitus,lathyrus vestitus var. vestitus
lathyrus vestitus var. vestitus,lathyrus vestitus var. vestitus
laurencia masonii,laurencia masonii
laurencia pacifica,laurencia pacifica
laurencia sinicola,laurencia sinicola
laurencia snyderiae,laurencia snyderiae
laurencia spectabilis,laurencia spectabilis
laurencia splendens,laurencia splendens
laurencia subopposita,laurencia subopposita
layia glandulosa,layia glandulosa
layia platyglossa,layia platyglossa
layia platyglossa subsp. campestris,layia platyglossa
layia platyglossa subsp. platyglossa,layia platyglossa
lemna gibba,lemna gibba
lepechinia calycina,lepechinia calycina
lepechinia cardiophylla,lepechinia cardiophylla
lepechinia fragrans,lepechinia fragrans
coronopus didymus,lepidium didymum
lepidium didymum,lepidium didymum
cardaria draba,lepidium draba
lepidium draba,lepidium draba
lepidium draba subsp. draba,lepidium draba
lepidium lasiocarpum,lepidium lasiocarpum subsp. lasiocarpum
lepidium lasiocarpum var. wrightii,lepidium lasiocarpum subsp. lasiocarpum
lepidium lasiocarpum subsp. lasiocarpum,lepidium lasiocarpum subsp. lasiocarpum
lepidium lasiocarpum var. lasiocarpum,lepidium lasiocarpum subsp. lasiocarpum
lepidium latipes,lepidium latipes
lepidium latipes var. latipes,lepidium latipes
lepidium nitidum,lepidium nitidum
lepidium nitidum var. howellii,lepidium nitidum
lepidium nitidum var. nitidum,lepidium nitidum
lepidium oblongum,lepidium oblongum
lepidium oblongum var. insulare,lepidium oblongum
lepidium oblongum var. oblongum,lepidium oblongum
lepidium strictum,lepidium strictum
lepidium virginicum,lepidium virginicum subsp. menziesii
lepidium virginicum subsp. menziesii,lepidium virginicum subsp. menziesii
lepidium virginicum var. menziesii,lepidium virginicum subsp. menziesii
lepidium virginicum var. pubescens,lepidium virginicum subsp. menziesii
lepidium virginicum var. robinsonii,lepidium virginicum subsp. menziesii
lepidospartum squamatum,lepidospartum squamatum
diplachne fusca,leptochloa fusca
leptochloa fusca subsp. uninervia,leptochloa fusca subsp. uninervia
leptocladia binghamiae,leptocladia binghamiae
leptosiphon androsaceus,leptosiphon androsaceus
leptosiphon bicolor,leptosiphon bicolor
linanthus bicolor,leptosiphon bicolor
leptosiphon parviflorus,leptosiphon parviflorus
linanthus parviflorus,leptosiphon parviflorus
leptosiphon pygmaeus,leptosiphon pygmaeus subsp. pygmaeus
leptosiphon pygmaeus subsp. pygmaeus,leptosiphon pygmaeus subsp. pygmaeus
leptosiphon pygmaeus subsp. pygmaeus,leptosiphon pygmaeus subsp. pygmaeus
linanthus pygmaeus subsp. pygmaeus,leptosiphon pygmaeus subsp. pygmaeus
linanthus pygmaeus subsp. pygmaeus,leptosiphon pygmaeus subsp. pygmaeus
leptosiphon rattanii,leptosiphon rattanii
leptospermum laevigatum,leptospermum laevigatum
coreopsis gigantea,leptosyne gigantea
leptosyne gigantea,leptosyne gigantea
coreopsis maritima,leptosyne maritima
lessingia glandulifera var. glandulifera,lessingia glandulifera var. glandulifera
elymus condensatus,elymus condensatus
leymus condensatus,elymus condensatus
elymus pacificus,elymus pacificus
leymus pacificus,elymus pacificus
elymus triticoides var. simplex,leymus simplex var. simplex
leymus triticoides,elymus triticoides
liagora viscida,liagora viscida
lilium humboldtii,lilium humboldtii subsp. ocellatum
lilium humboldtii subsp. humboldtii,lilium humboldtii subsp. humboldtii
lilium humboldtii subsp. ocellatum,lilium humboldtii subsp. ocellatum
lilium humboldtii var. ocellatum,lilium humboldtii subsp. ocellatum
limonium perezii,limonium perezii
limonium sinuatum,limonium sinuatum
linanthus dianthiflorus,linanthus dianthiflorus
linanthus dianthiflorus subsp. dianthiflorus,linanthus dianthiflorus
linaria bipartita,linaria bipartita
linaria maroccana,linaria maroccana
linum usitatissimum,linum usitatissimum
lithophragma affine,lithophragma affine
lithophragma affine subsp. mixtum,lithophragma affine
lithophragma cymbalaria,lithophragma cymbalaria
lithophragma maximum,lithophragma maximum
lithothrix aspergillum,lithothrix aspergillum
lobelia dunnii var. serrata,lobelia dunnii var. serrata
lobelia erinus,lobelia erinus
lobularia maritima,lobularia maritima
loeflingia squarrosa,loeflingia squarrosa
filago arizonica,logfia arizonica
logfia arizonica,logfia arizonica
filago depressa,logfia depressa
filago californica,logfia filaginoides
logfia californica,logfia filaginoides
logfia filaginoides,logfia filaginoides
filago gallica,logfia gallica
logfia gallica,logfia gallica
lomatium caruifolium,lomatium caruifolium var. caruifolium
lomatium caruifolium var. caruifolium,lomatium caruifolium var. caruifolium
lomatium caruifolium var. caruifolium,lomatium caruifolium var. caruifolium
lomatium insulare,lomatium insulare
lomatium macrocarpum,lomatium macrocarpum
lomatium utriculatum,lomatium utriculatum
lomatium vaginatum,lomatium vaginatum
lomentaria hakodatensis,lomentaria hakodatensis
lonicera hispidula,lonicera hispidula
lonicera hispidula var. vacillans,lonicera hispidula
lonicera interrupta,lonicera interrupta
lonicera subspicata,lonicera subspicata
lonicera subspicata var. denudata,lonicera subspicata var. denudata
lonicera subspicata var. denudata,lonicera subspicata var. denudata
lonicera subspicata var. johnstonii,lonicera subspicata var. denudata
lonicera subspicata var. subspicata,lonicera subspicata var. subspicata
lotus corniculatus,lotus corniculatus
ludwigia peploides,ludwigia peploides subsp. peploides
ludwigia peploides subsp. montevidensis,ludwigia peploides subsp. montevidensis
ludwigia peploides subsp. peploides,ludwigia peploides subsp. peploides
ludwigia repens,ludwigia repens
lupinus adsurgens var. adsurgens,lupinus adsurgens
lupinus adsurgens var. lilacinus,lupinus adsurgens
lupinus affinis,lupinus affinis
lupinus concinnus var. agardhianus,lupinus concinnus
lupinus albifrons,lupinus albifrons var. douglasii
lupinus albifrons var. albifrons,lupinus albifrons var. albifrons
lupinus albifrons var. eminens,lupinus albifrons var. albifrons
lupinus albifrons var. collinus,lupinus albifrons var. collinus
lupinus albifrons var. douglasii,lupinus albifrons var. douglasii
lupinus arboreus,lupinus arboreus
lupinus argenteus var. tenellus,lupinus argenteus var. argenteus
lupinus arizonicus subsp. lagunensis,lupinus arizonicus subsp. lagunensis
lupinus benthamii,lupinus benthamii
lupinus bicolor,lupinus bicolor subsp. bicolor
lupinus bicolor subsp. microphyllus,lupinus bicolor subsp. bicolor
lupinus bicolor subsp. tridentatus,lupinus bicolor subsp. bicolor
lupinus bicolor subsp. umbellatus,lupinus bicolor subsp. bicolor
lupinus bicolor var. microphyllus,lupinus bicolor subsp. bicolor
lupinus bicolor var. umbellatus,lupinus bicolor subsp. bicolor
lupinus polycarpus,lupinus bicolor subsp. bicolor
lupinus umbellatus,lupinus bicolor subsp. bicolor
lupinus bicolor subsp. bicolor,lupinus bicolor subsp. bicolor
lupinus chamissonis,lupinus chamissonis
lupinus citrinus var. citrinus,lupinus citrinus var. citrinus
lupinus agardhianus,lupinus concinnus
lupinus agardhianus,lupinus concinnus
lupinus concinnus,lupinus concinnus
lupinus concinnus,lupinus concinnus
lupinus concinnus subsp. concinnus,lupinus concinnus
lupinus concinnus subsp. concinnus,lupinus concinnus
lupinus concinnus subsp. orcuttii,lupinus concinnus
lupinus concinnus subsp. orcuttii,lupinus concinnus
lupinus concinnus var. orcuttii,lupinus concinnus
lupinus concinnus var. orcuttii,lupinus concinnus
lupinus elatus,lupinus elatus
lupinus excubitus,lupinus excubitus
lupinus excubitus,lupinus excubitus
lupinus excubitus subsp. hallii,lupinus excubitus var. hallii
lupinus excubitus var. hallii,lupinus excubitus var. hallii
lupinus formosus,lupinus formosus
lupinus aliclementinus,lupinus guadalupensis
lupinus guadalupensis,lupinus guadalupensis
lupinus moranii,lupinus guadalupensis
lupinus hirsutissimus,lupinus hirsutissimus
lupinus latifolius subsp. latifolius,lupinus latifolius var. latifolius
lupinus longifolius,lupinus longifolius
lupinus microcarpus,lupinus microcarpus
lupinus densiflorus,lupinus microcarpus var. densiflorus
lupinus densiflorus var. densiflorus,lupinus microcarpus var. densiflorus
lupinus microcarpus var. densiflorus,lupinus microcarpus var. densiflorus
lupinus densiflorus var. palustris,lupinus microcarpus
lupinus ruber,lupinus microcarpus
lupinus subvexus,lupinus microcarpus
lupinus subvexus var. subvexus,lupinus microcarpus
lupinus nanus,lupinus nanus
lupinus sparsiflorus subsp. sparsiflorus,lupinus microcarpus
lupinus succulentus,lupinus succulentus
lupinus succulentus var. succulentus,lupinus succulentus
lupinus truncatus,lupinus truncatus
lupinus variicolor,lupinus variicolor
luzula comosa,luzula comosa
luzula spicata,luzula spicata
luzula subcongesta,luzula subcongesta
luzula subsessilis,luzula subsessilis
lycium andersonii,lycium andersonii
lycium brevipes,lycium brevipes var. hassei
lycium brevipes var. hassei,lycium brevipes var. hassei
lycium brevipes var. hassei,lycium brevipes var. hassei
lycium hassei,lycium brevipes var. hassei
lycium hassei,lycium brevipes var. hassei
lycium californicum,lycium californicum
lycium fremontii,lycium fremontii
lycium verrucosum,lycium verrucosum
lycopersicon esculentum,lycopersicon esculentum
solanum lycopersicum,lycopersicon esculentum
lyonothamnus aspleniifolius,lyonothamnus floribundus
lyonothamnus floribundus,lyonothamnus floribundus
lyonothamnus floribundus subsp. aspleniifolius,lyonothamnus floribundus subsp. aspleniifolius
lyonothamnus floribundus var. aspleniifolius,lyonothamnus floribundus subsp. aspleniifolius
lyonothamnus floribundus floribundus,lyonothamnus floribundus subsp. floribundus
lyonothamnus floribundus subsp. floribundus,lyonothamnus floribundus subsp. floribundus
anagallis arvensis,lysimachia arvensis
anagallis arvensis var. coerulea,lysimachia arvensis
lythrum californicum,lythrum californicum
lythrum hyssopifolia,lythrum hyssopifolia
madia exigua,madia exigua
madia gracilis,madia gracilis
madia sativa,madia sativa
malacothamnus clementinus,malacothamnus clementinus
malvastrum clementinum,malacothamnus clementinus
malvastrum davidsonii,malacothamnus davidsonii
malacothamnus fasciculatus,malacothamnus fasciculatus
malvastrum nesioticum,malacothamnus fasciculatus
malacothamnus fasciculatus subsp. catalinensis,malacothamnus fasciculatus var. catalinensis
malacothamnus fasciculatus var. catalinensis,malacothamnus fasciculatus var. catalinensis
malacothamnus fasciculatus var. nesioticus,malacothamnus fasciculatus var. nesioticus
malacothrix clevelandii,malacothrix clevelandii
malacothrix coulteri,malacothrix coulteri
malacothrix foliosa,malacothrix foliosa
malacothrix foliosa subsp. crispifolia,malacothrix foliosa subsp. crispifolia
malacothrix foliosa subsp. foliosa,malacothrix foliosa subsp. foliosa
malacothrix foliosa subsp. philbrickii,malacothrix foliosa subsp. philbrickii
malacothrix foliosa subsp. polycephala,malacothrix foliosa subsp. polycephala
malacothrix polycephala,malacothrix foliosa subsp. polycephala
malacothrix incana,malacothrix incana
malacothrix incana var. succulenta,malacothrix incana
malacothrix indecora,malacothrix indecora
malacothrix junakii,malacothrix junakii
malacothrix saxatilis,malacothrix saxatilis
malacothrix saxatilis var. arachnoidea,malacothrix saxatilis var. arachnoidea
malacothrix saxatilis var. commutata,malacothrix saxatilis var. commutata
malacothrix implicata,malacothrix saxatilis var. implicata
malacothrix saxatilis var. implicata,malacothrix saxatilis var. implicata
malacothrix saxatilis var. tenuifolia,malacothrix saxatilis var. tenuifolia
malacothrix similis,malacothrix similis
malacothrix squalida,malacothrix squalida
malephora crocea,malephora crocea
malosma laurina,malosma laurina
rhus laurina,malosma laurina
malus pumila,malus pumila
malva arborea,malva arborea
lavatera assurgentiflora,malva assurgentiflora
lavatera assurgentiflora subsp. assurgentiflora,malva assurgentiflora
lavatera assurgentiflora subsp. glabra,malva assurgentiflora
malva assurgentiflora,malva assurgentiflora
malva multiflora,malva multiflora
malva nicaeensis,malva nicaeensis
malva pacifica,malva pacifica
malva parviflora,malva parviflora
lavatera cretica,malva pseudolavatera
malva sylvestris,malva sylvestris
malvella leprosa,malvella leprosa
mammillaria deherdtiana,mammillaria deherdtiana
mammillaria oliviae,mammillaria grahamii var. grahamii
mammillaria fera-rubra,mammillaria rhodantha subsp. fera-rubra
mangifera indica,mangifera indica
marah fabacea,marah fabacea
marah fabacea,marah fabacea
marah fabaceus,marah fabacea
marah fabaceus,marah fabacea
marah fabaceus var. agrestis,marah fabacea
marah guadalupensis,marah macrocarpa
marah macrocarpa,marah macrocarpa
marah macrocarpa var. macrocarpa,marah macrocarpa
marah macrocarpa var. major,marah macrocarpa
marah macrocarpus,marah macrocarpa
marah macrocarpus var. major,marah macrocarpa
marrubium vulgare,marrubium vulgare
matricaria discoidea,matricaria discoidea
matricaria matricarioides,matricaria discoidea
matricaria occidentalis,matricaria occidentalis
meconella denticulata,meconella denticulata
medicago arabica,medicago arabica
medicago minima,medicago minima
medicago hispida,medicago polymorpha
medicago polycarpa,medicago polymorpha
medicago polymorpha,medicago polymorpha
medicago polymorpha var. brevispina,medicago polymorpha
medicago sativa,medicago sativa
melica imperfecta,melica imperfecta
melica imperfecta var. flexuosa,melica imperfecta
melica imperfecta var. minor,melica imperfecta
melica imperfecta var. refracta,melica imperfecta
melilotus alba,melilotus albus
melilotus albus,melilotus albus
melilotus indicus,melilotus indicus
melobesia mediocris,melobesia mediocris
mentha spicata,mentha spicata
mentha x smithiana,mentha x smithiana
mentzelia affinis,mentzelia affinis
mentzelia micrantha,mentzelia micrantha
mesembryanthemum crystallinum,mesembryanthemum crystallinum
mesembryanthemum nodiflorum,mesembryanthemum nodiflorum
micranthes californica,micranthes californica
saxifraga californica,micranthes californica
microcladia borealis,microcladia borealis
microcladia californica,microcladia californica
microcladia coulteri,microcladia coulteri
bombycilaena californica,micropus californicus var. californicus
micropus californicus,micropus californicus var. californicus
micropus californicus var. californicus,micropus californicus var. californicus
micropus californicus var. californicus,micropus californicus var. californicus
microseris douglasii,microseris douglasii
microseris douglasii subsp. douglasii,microseris douglasii subsp. douglasii
microseris douglasii subsp. platycarpha,microseris douglasii subsp. platycarpha
microseris douglasii var. platycarpha,microseris douglasii subsp. platycarpha
microseris douglasii subsp. tenella,microseris douglasii subsp. tenella
microseris elegans,microseris elegans
arenaria douglasii,minuartia douglasii
minuartia douglasii,minuartia douglasii
mirabilis laevis,mirabilis laevis var. crassifolia
mirabilis californica,mirabilis laevis var. crassifolia
